,Invalid Rate
Vanuatu,4.444444444444445
Dominican Republic,4.27807486631016
Togo,4.273504273504273
Bahamas,3.5294117647058822
Barbados,3.4482758620689653
Gabon,3.1746031746031744
Equatorial Guinea,3.125
Mali,2.7777777777777777
Madagascar,2.717391304347826
Uzbekistan,2.380952380952381
Samoa,2.2988505747126435
Chad,2.2222222222222223
Nepal,2.2222222222222223
Niger,2.1505376344086025
Canada,2.135231316725979
Iran (Islamic Republic of),2.112676056338028
Senegal,2.109704641350211
Poland,2.030456852791878
Kazakhstan,2.0202020202020203
Costa Rica,2.0072992700729926
Philippines,1.9672131147540985
Morocco,1.8450184501845017
Viet Nam,1.834862385321101
Djibouti,1.7964071856287425
Panama,1.7467248908296942
Benin,1.7045454545454544
Peru,1.644736842105263
Turkmenistan,1.6129032258064515
Malta,1.5706806282722512
Guinea,1.557632398753894
Bahrain,1.5384615384615385
Turkey,1.486988847583643
Gambia (Republic of The),1.4705882352941175
Namibia,1.4598540145985401
Georgia,1.4492753623188406
Ghana,1.4388489208633095
Netherlands,1.4344262295081966
Ecuador,1.4035087719298245
Marshall Islands,1.3333333333333335
Bosnia and Herzegovina,1.3071895424836601
Haiti,1.2987012987012987
Denmark,1.2987012987012987
Bulgaria,1.2658227848101267
Yemen,1.2195121951219512
Sudan,1.2096774193548387
Malaysia,1.1494252873563218
Malawi,1.1111111111111112
Suriname,1.0869565217391304
Uganda,1.0526315789473684
Luxembourg,1.0471204188481675
Azerbaijan,1.0416666666666665
Jordan,1.0362694300518136
Tunisia,1.0344827586206897
Hungary,1.0282776349614395
Israel,0.9803921568627451
Mozambique,0.9615384615384616
Finland,0.9363295880149813
Ukraine,0.9345794392523363
Myanmar,0.9090909090909091
Germany,0.8375209380234505
Nigeria,0.8333333333333334
Saudi Arabia,0.8264462809917356
Russian Federation,0.7957559681697612
Kuwait,0.7936507936507936
Uruguay,0.7518796992481203
Albania,0.6622516556291391
Kenya,0.6622516556291391
Iceland,0.6578947368421052
Mauritania,0.5714285714285714
Honduras,0.35714285714285715
Botswana,0.0
Bhutan,0.0
Maldives,0.0
Central African Republic,0.0
Democratic Republic of the Congo,0.0
Sri Lanka,0.0
Seychelles,0.0
Oman,0.0
Afghanistan,0.0
