year,Council,Session,Agenda item,Agenda detail,cosponsored countries,body title number,body title detail,body text,date,file,filecountry,footnote,scanned
1994,General Assembly,Forty-eighth session,40,"THE SITUATION IN CENTRAL AMERICA: PROCEDURES FORTHE ESTABLISHMENT OF A FIRM AND LASTING PEACE ANDPROGRESS IN FASHIONING A REGION OF PEACE, FREEDOM, DEMOCRACY AND DEVELOPMENT","Argentina, Austria, Belgium, Belize, Bolivia, Brazil, Canada, Colombia, Costa Rica, Denmark, El Salvador, Finland, France, Germany, Greece, Guatemala, Honduras, Ireland, Italy, Luxembourg, Mexico, Netherlands, Nicaragua, Norway, Panama, Peru, Portugal, Spain, Sweden, United Kingdom of Great Britain and Northern Ireland, United States of America and Venezuela:",N/A,Mission for the Verification of Human Rights and of Compliance with the Commitments of the Comprehensive Agreement _on Human Rights in Guatemala Addendum Add Ecuador to the list of sponsors of the resolution. 94-36599 (E) 190994,N/A,09/19/1994,1994_161671,Ecuador,N/A,yes
1994,General Assembly,Forty-eighth session,180,OBSERVER STATUS FOR THE SOVEREIGN MILITARY ORDER OF MALTA IN THE GENERAL ASSEMBLY,"Albania, Argentina, Armenia, Austria, Belize, Benin, Bolivia, Bosnia _ and Herzegovina, Bulgaria, Burkina Faso, Burundi, Cambodia, Cameroon, Cape Verde, Chile, Colombia, Costa Rica, CÃ©te dâIvoire, Croatia, Cuba, Czech Republic, Dominican Republic, Ecuador, El Salvador, Estonia, Gabon, Georgia, Grenada, Guatemala, Guinea, Haiti, Honduras, Hungary, Israel, Italy, Latvia, Lebanon, Liechtenstein, Lithuania, Malta, Marshall Islands, Micronesia, (Federated States of), Morocco, Nicaragua, Panama, Paraguay, Peru, Poland, Portugal, Republic of Korea, Republic of Moldova, Romania, San Marino, Senegal, Seychelles, Slovakia, Slovenia, Spain, Thailand, the former Yugoslav Republic of Macedonia, Togo, Uruguay, Venezuela and Zaire",N/A,N/A,"The General Assembly , Considering the long-standing dedication of the Sovereign Military Order of Malta in providing humanitarian assistance, and its special role in international humanitarian relations, Desirous of enhancing cooperation between the United Nations and the Sovereign Military Order of Malta, 1. Decides to invite the Sovereign Military Order of Malta to participate in the sessions and the work of the General Assembly in the capacity of observer; 2. Requests the Secretary-General to take the necessary action to implement the present resolution.",08/22/1994,1994_162131,Ecuador,N/A,yes
1994,General Assembly,Forty-ninth session,151,OBSERVER STATUS FOR THE SOUTH PACIFIC FORUM IN THE GENERAL ASSEMBLY,"Andorra, Antigua and Barbuda, Argentina, Armenia, Australia, Austria, Azerbaijan, Bahamas, Bangladesh, Barbados, Belgium, Belize, Benin, Bhutan, Bolivia, Bosnia and Herzegovina, Brazil, Bulgaria, Cambodia, Canada, Cape Verde, Chile, Colombia, Costa Rica, CÃ©te dâIvoire, Cuba, Cyprus, Czech Republic, Denmark, Ecuador, Egypt, Fiji, Finland, France, Georgia, Germany, Ghana, Greece, Grenada, Guyana, Honduras, Hungary, Iceland, India, Indonesia, Ireland, Israel, Italy, Jamaica, Japan, Kazakhstan, Kenya, Kyrgyzstan, Lao Peopleâs Democratic Republic, Liechtenstein, Luxembourg, Malaysia, Maldives, Malta, Marshall Islands, Mauritius, Mexico, Micronesia (Federated States of), Monaco, Mongolia, Myanmar, Namibia, Nepal, Netherlands, New Zealand, Nicaragua, Nigeria, Norway, Papua New Guinea, Peru, Philippines, Poland, Portugal, Republic of Korea, Romania, Russian Federation, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines, Samoa, San Marino, Seychelles, Sierra Leone, Singapore, Slovakia, Slovenia, Solomon Islands, South Africa, Spain, Sri Lanka, Sudan, Suriname, Sweden, Tajikistan, Thailand, Trinidad _and Tobago, Tunisia, Turkey, Uganda, United Kingdom of Great Britain and Northern Ireland, United States of America, Vanuatu, Venezuela and Viet Nam",N/A,N/A,"The General Assembly , Noting the desire of the South Pacific Forum for cooperation between the United Nations and the South Pacific Forum, 1. Decides to invite the South Pacific Forum to participate in the sessions and the work of the General Assembly in the capacity of observer; 2. Requests the Secretary-General to take the necessary action to implement the present resolution.",10/11/1994,1994_163214,Ecuador,N/A,yes
1994,Special Political And Decolonization Committee,Forty-ninth session,75,EFFECTS OF ATOMIC RADIATION,"Argentina, Australia, Austria, Azerbaijan, Belarus, Belgium, Bolivia, Brazil, Canada, China, Costa Rica, Czech Republic, Denmark, Ecuador, Egypt, France, Germany, Greece, India, Indonesia, Ireland, Italy, Japan, Luxembourg, Netherlands, New Zealand, Pakistan, Papua New Guinea, Paraguay, Peru, Poland, Portugal, Republic of Korea, Russian Federation, Spain, Sweden, Ukraine, United Kingdom of Great Britain and Northern Ireland, United States of America and Uruguay",N/A,N/A,"The General Assembly , Recalling its resolution 913 (X) of 3 December 1955, by which it established the United Nations Scientific Committee on the Effects of Atomic Radiation, and its subsequent resolutions on the subject, including resolution 48/38 of 10 December 1993, in which, inter alia, it requested the Scientific Committee to continue its work, Taking note with appreciation of the report of the United Nations Scientific Committee on the Effects of Atomic Radiation, 1/ Reaffirming the desirability of the Scientific Committee continuing its work, Reissued for technical reasons. Concerned about the potentially harmful effects on present and future generations resulting from the levels of radiation to which mankind and the environment are exposed, Conscious of the continued need to examine and compile information about atomic and ionizing radiation and to analyse its effects on mankind and the environment, 1. Commends the United Nations Scientific Committee on the Effects of Atomic Radiation for the valuable contribution it has been making in the course of the past thirty-nine years, since its inception, to wider knowledge and understanding of the levels, effects and risks of atomic radiation and for fulfilling its original mandate with scientific authority and independence of judgement; 2. Notes with satisfaction the completion in 1994 of the twelfth comprehensive report of the Scientific Committee entitled Sources and Effects of Ionizing Radiation, 2/ thereby providing to the scientific and world community its latest evaluations of the sources and effects of ionizing radiation; 3. Requests the Scientific Committee to continue its work, including its important activities, to increase knowledge of the levels, effects and risks of ionizing radiation from all sources; 4. Endorses the intentions and plans of the Scientific Committee for its future activities of scientific review and assessment on behalf of the General Assembly; 5. Also requests the Scientific Committee to continue at its next session the review of the important problems in the field of radiation and to report thereon to the General Assembly at its fiftieth session; 6. Requests the United Nations Environment Programme to continue providing support for the effective conduct of the work of the Scientific Committee and for the dissemination of its findings to the General Assembly , the scientific community and the public; 7. Expresses its appreciation for the assistance rendered to the Scientific Committee by Member States, the specialized agencies, the International Atomic Energy Agency and non-governmental organizations, and invites them to increase their cooperation in this field; 8. Invites Member States, the organizations of the United Nations system and non-governmental organizations concerned to provide further relevant data about doses, effects and risks from various sources of radiation, which would greatly help in the preparation of future reports of the Scientific Committee to the General Assembly .",10/17/1994,1994_163271,Ecuador,"1/ Official Records of the General Assembly , Forty-ninth Session, Supplement No. 46 (A/49/46). 2/ United Nations publication, Sales No. E.94.1X.1 1.",yes
1994,General Assembly,Forty-ninth session,152,OBSERVER STATUS FOR THE INTERNATIONAL FEDERATION OF RED CROSS AND RED CRESCENT SOCIETIES IN THE GENERAL ASSEMBLY,"Afghanistan, Algeria, Antigua _and Barbuda, Armenia, Australia, Austria, Bahamas, Bangladesh, Barbados, Belarus, Belize, Benin, Bhutan, Bolivia, Bulgaria, Burkina Faso, Cambodia, Cameroon, Canada, Cape Verde, Chile, Colombia, Congo, Costa Rica, CÃ©te dâIvoire, Croatia, Cyprus, Democratic Peopleâs Republic of Korea, Denmark, Djibouti, Dominican Republic, Ecuador, El Salvador, Eritrea, Estonia, Ethiopia, Fiji, Finland, Gambia, Georgia, Ghana, Guatemala, Guinea, Honduras, Hungary, Iceland, Indonesia, Iraq, Jordan, Kazakhstan, Kyrgyzstan, Lao Peopleâs Democratic Republic, Liberia, Libyan Arab Jamahiriya, Liechtenstein, Madagascar, Malawi, Malaysia, Maldives, Mali, Malta, Marshall Islands, Mauritania, Mexico, Micronesia (Federated States of) Mongolia, Morocco, Mozambique, Myanmar, Namibia, Nepal, New Zealand, Norway, Oman, Pakistan, Panama, Papua New Guinea, Peru, Poland, Qatar, Republic of Korea, Saint Lucia, Samoa, San Marino, Saudi Arabia, Senegal, Sierra Leone, Slovakia, Solomon Islands, Sudan, Sweden, Thailand, Togo, Tunisia, Turkey, Ukraine, Vanuatu, Venezuela, Yemen and Zimbabwe",N/A,N/A,"The General Assembly , Recalling the special functions of the member societies of the International Federation of Red Cross and Red Crescent Societies which are recognized by their respective Governments as auxiliaries to the public authorities in the humanitarian field on the basis of the Geneva Conventions of 12 August 1949, Considering the specific role of the International Federation of Red Cross and Red Crescent Societies in international humanitarian relations as further defined by the International Conference of the Red Cross and Red Crescent, Desirous of promoting cooperation between the United Nations and the International Federation of Red Cross and Red Crescent Societies, 1. Decides to invite the International Federation of Red Cross and Red Crescent Societies to participate in the sessions and the work of the General Assembly in the capacity of observer; 2. Requests the Secretary-General to take the necessary action to implement the present resolution.",10/17/1994,1994_163336,Ecuador,N/A,yes
1994,General Assembly,Forty-ninth session,22,ASSISTANCE IN MINE CLEARANCE,Ecuador,N/A,N/A,"1. Replace the ninth preambular paragraph by the following: Recognizing the special responsibility of mine-exporting States in the mine-clearance process and the financing of mine-clearance operations, 2. Insert a new tenth preambular paragraph reading as follows: Recognizing also that the United Nations has an important role to play in the field of cooperation in mine clearance, 3. Replace operative paragraph 2 by the following: 2. Approves the establishment by the Secretary-General of a voluntary trust fund for mine-clearance operations and other related activities, to be financed by mine-exporting States and from voluntary contributions; 4, Replace operative paragraph 9 by the following: 4, Requests the Secretary-General to submit to the General Assembly at its fiftieth session a report containing proposals for mechanisms and procedures to facilitate the payment of contributions by mine-exporting States, as well as of voluntary contributions by other States and by intergovernmental and non-governmental organizations; this report shall include the information obtained by the Secretariat on the international trade in mines, as well as on the origin of the mines laid in the various regions;",10/28/1994,1994_163638,Ecuador,N/A,yes
1994,General Assembly,Forty-ninth session,29,COOPERATION BETWEEN THE UNITED NATIONS AND THE LATIN AMERICAN ECONOMIC SYSTEM,"Antigua_and Barbuda, Argentina, Barbados, Belize, Bolivia, Brazil, Chile, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, El Salvador, Grenada, Guatemala, Guyana, Haiti, Honduras, Jamaica, Mexico, Nicaragua, Panama, Paraguay, Peru, Suriname, Trinidad _and Tobago, Uruguay and Venezuela",N/A,N/A,"The General Assembly , Recalling its resolution 48/22 of 22 November 1993 on cooperation between the United Nations and the Latin American Economic System, 1/ Having considered the report of the Secretary-General on cooperation between the United Nations and the Latin American Economic System, Bearing in mind the Agreement between the United Nations and the Latin American Economic System, in which the parties agree to strengthen and expand their cooperation in matters which are of common concern in the field of their respective competence pursuant to their constitutional instruments, Considering that the Economic Commission for Latin America and the Caribbean has developed ties of cooperation with the Latin American Economic System which have grown stronger in recent years, Bearing in mind also that the Permanent Secretariat of the Latin American Economic System has carried out several programmes with the support of the United Nations Development Programme in areas that are considered of priority for the economic development of the region, 1/â -A/49/382. Considering also that the Latin American Economic System is developing joint activities with the specialized agencies and other organizations and programmes of the United Nations system, such as the United Nations Conference on Trade and Development, the United Nations Educational, Scientific and Cultural Organization, the United Nations Industrial Development Organization, the World Meteorological Organization, the World Health Organization, the World Intellectual Property Organization, the United Nations Environment Programme, the Department for Development Support and Management Services, the Department for Economic and Social Information and Policy Analysis, the Department for Policy Coordination and Sustainable Development, the Office of the United Nations Disaster Relief Coordinator, the United Nations Institute for Training and Research and the International Telecommunication Union, Welcoming the continued monitoring of changes in the treatment of topics relating to the United Nations system, in close contact with the delegations of the Member States participating in such deliberations, 1. Takes note with satisfaction of the report of the Secretary-General; 2. Urges the Economic Commission for Latin America and the Caribbean to continue broadening and deepening its coordination and mutual support activities with the Latin American Economic System; 3. Urges the United Nations Development Programme to strengthen and expand its support to the programmes that the Permanent Secretariat of the Latin American Economic System is carrying out, aimed at complementing the technical assistance activities conducted by the Latin American Economic System; 4. Urges the specialized agencies and other organizations and programmes of the United Nations system to continue and intensify their support for, and cooperation in the activities of, the Latin American Economic System; 5. Requests both the Secretary-General of the United Nations and the Permanent Secretary of the Latin American Economic System to assess, at the appropriate time, the implementation of the Agreement between the United Nations and the Latin American Economic System and to report thereon to the General Assembly at its fiftieth session; 6. Requests the Secretary-General to submit to the General Assembly at its fiftieth session a report on the implementation of the present resolution.",10/19/1994,1994_163750,Ecuador,1/â -A/49/382.,yes
1994,Special Political And Decolonization Committee,Forty-ninth session,18,IMPLEMENTATION OF THE DECLARATION ON THE GRANTING OF INDEPENDENCE TO COLONIAL COUNTRIES AND PEOPLESQUESTION OF WESTERN SAHARA,"Algeria, Angola, Antigua and Barbuda, Bahamas, Barbados, Belize, Bolivia, Botswana, Burundi, Chile, Colombia, Congo, Costa Rica, Cuba, Cyprus, Democratic Peopleâs Republic of Korea, Dominica, Ecuador, El Salvador, Ethiopia, Fiji, Ghana, Grenada, Guyana, Haiti, Honduras, Jamaica, Kenya, Lao Peopleâs Democratic Republic, Lesotho, Malawi, Marshall Islands, Mauritania, Mauritius, Mexico, Micronesia (Federated States of), Mozambique, Namibia, Nicaragua, Nigeria, Panama, Papua New Guinea, Paraguay, Rwanda, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines, Seychelles, Sierra Leone, Trinidad and Tobago, Uganda, United Republic of Tanzania, Uruguay, Vanuatu, Venezuela, Viet Nam, Zambia and Zimbabwe",N/A,N/A,"The General Assembly , Having considered in depth the question of Western Sahara, Reaffirming the inalienable right of all peoples to self-determination and independence, in accordance with the principles set forth in the Charter of the United Nations and in General Assembly resolution 1514 (XV) of 14 December 1960, containing the Declaration on the Granting of Independence to Colonial Countries and Peoples, Recalling its resolution 48/49 of 10 December 1993, Recalling also the agreement in principle given on 30 August 1988 by the Kingdom of Morocco and the Frente Popular para la LiberaciÃ©n de Saguia el-Hamra y de Rio de Oro to the proposals of the Secretary-General of the United Nations and the current Chairman of the Assembly of Heads of State and Government of the Organization of African Unity in the context of their joint mission of good offices, Recalling further Security Council resolutions 621 (1988) of 20 September 1988, 658 (1990) of 27 June 1990, 690 (1991) of 29 April 1991, 725 (1991) of 31 December 1991 and 809 (1993) of 2 March 1993 relating to the question of Western Sahara, Recalling with satisfaction the entry into force of the cease-fire in Western Sahara on 6 September 1991, in accordance with the proposal of the Secretary-General accepted by the two parties, Taking note of the adoption by the Security Council on 29 March 1994 of resolution 907 (1994), Taking note also of the statement by the President of the Security Council on 29 July 1994, 1/ Welcoming the appointment of Mr. Erik Jensen as Deputy Special Representative of the Secretary-General for Western Sahara and the progress made, under his leadership, by the Identification Commission of the United Nations Mission for the Referendum in Western Sahara, Stressing the importance and usefulness of the resumption of direct talks between the two parties, the Kingdom of Morocco and the Frente Popular para la LiberacioÃ©n de Saguia el-Hamra y de Rio de Oro, in order to create a propitious atmosphere conducive to a speedy and effective implementation of the settlement plan, Having examined the relevant chapter of the report of the Special Committee on the Situation with regard to the Implementation of the Declaration on the Granting of Independence to Colonial Countries and Peoples, 2/ Having also examined the report of the Secretary-General, 3/ 1. Takes note with appreciation of the report of the Secretary-General; 2. Pays tribute to the Secretary-General for his action with a view to settling the question of Western Sahara by the implementation of the settlement plan; 1/. S/PRST/1994/39. 2/ A/49/23 (Part V), chap. VIII. 3. Reiterates its support for further efforts of the Secretary-General for the organization and supervision by the United Nations, in cooperation with the Organization of African Unity, of a referendum for self-determination of the people of Western Sahara, in conformity with Security Council resolutions 658 (1990) and 690 (1991) by which the Council adopted the settlement plan for Western Sahara; 4. Reaffirms that the goal on which all were agreed consists in the holding of a free, fair and impartial referendum for the people of Western Sahara, organized and conducted by the United Nations in cooperation with the Organization of African Unity and without any military or administrative constraints; 5. Endorses the contents of the statement of 29 July 1994 by the President of the Security Council in which the Council, inter alia, welcomes the progress made to date on the issues outlined in the Secretary-Generalâs report towards the implementation of the settlement plan; commends, in particular, the work of the Identification Commission and the efforts of the Deputy Special Representative pursuant to resolution 907 (1994) of 29 March 1994; and urges the two parties to continue to cooperate with the Secretary-General and the United Nations Mission for the Referendum in Western Sahara to ensure the earliest possible implementation of the settlement plan; 1/ 6. Encourages the Secretary-General to continue to deploy all efforts to bring the two parties to resume, as soon as possible, direct talks in order to create a propitious atmosphere conducive to a speedy and effective implementation of the settlement plan; 7. Requests Special Committee on the Situation with regard to the Implementation of the Declaration on the Granting of Independence to Colonial Countries and Peoples to continue to consider the situation in Western Sahara, bearing in mind the ongoing referendum process, and to report thereon to the General Assembly at its fiftieth session; 8. Invites the Secretary-General to submit to the General Assembly at its fiftieth session a report on the implementation of the present resolution.",10/25/1994,1994_163789,Ecuador,"1/. S/PRST/1994/39. 2/ A/49/23 (Part V), chap. VIII.",yes
1994,First Committee,Forty-ninth session,63 (e),"REVIEW AND IMPLEMENTATION OF THE CONCLUDING DOCUMENT OFTHE TWELFTH SPECIAL SESSION OF THE GENERAL ASSEMBLY:UNITED NATIONS REGIONAL CENTRE FOR PEACE AND DISARMAMENTIN AFRICA, UNITED NATIONS REGIONAL CENTRE FOR PEACE ANDDISARMAMENT IN ASIA AND THE PACIFIC AND UNITED NATIONSREGIONAL CENTRE FOR PEACE, DISARMAMENT AND DEVELOPMENT IN LATIN AMERICA AND THE CARIBBEAN","Argentina, Bangladesh, Bolivia, Brazil, Chile, Costa Rica, Democratic Peopleâs Republic of Korea, Dominican Republic, Ecuador, El Salvador, Gambia*, Honduras, Jamaica, Lao Peopleâs Democratic Republic, Mongolia, Myanmar, Nepal, Nicaragua, Pakistan, Panama, Paraguay, Peru, Singapore, Sri Lanka, Venezuela and Viet Nam",N/A,"United Nations Regional Centre for Peace and Disarmament in Africa, United Nations Regional Centre for Peace and Disarmament in Asia and the Pacific and United Nations Regional Centre for Peace, Disarmament and Development in Latin America and the Caribbean","The General Assembly , Recalling its resolutions 40/151 G of 16 December 1985, 41/60 D of 3 December 1986, 42/39 J of 30 November 1987 and 43/76 D of 7 December 1988 on the United Nations Regional Centre for Peace and Disarmament in Africa, 41/60 J of 3 December 1986, 42/39 K of 30 November 1987 and 43/76 H of 7 December 1988 on the United Nations Regional Centre for Peace, Disarmament and Development in Latin America and the Caribbean, 42/39 D of 30 November 1987 and 43/76 G of 7 December 1988 on the United Nations Regional Centre for Peace and Disarmament in Asia, and 44/117 F of 15 December 1989, 45/59 EB of 4 December 1990 and 46/37 F of 9 December 1991 on the United Nations Regional Centre for Peace and Disarmament in Africa, the United Nations Regional Centre for Peace and Disarmament in Asia and the Pacific and the United Nations Regional Centre for Peace, Disarmament and Development in Latin America and the Caribbean, Reaffirming its resolutions 46/36 F of 6 December 1991 and 47/52 G of 9 December 1992 on regional disarmament, including confidence-building measures, Also recalling its resolution 48/76 E of 16 December 1993 on the regional disarmament centres, Mindful of the provisions of Article 11, paragraph 1 of the Charter of the United Nations stipulating that a function of the General Assembly is to consider the general principles of cooperation in the maintenance of international peace and security, including the principles governing disarmament and arms limitation, Bearing in mind that the changed international environment has created new opportunities for the pursuit of disarmament, as well as posed new challenges, Taking note of the report of the Secretary-General on the activities of the regional centres, 1/ Convinced that the initiatives and activities mutually agreed upon by Member States of the respective regions aimed at fostering mutual confidence and security, as well as the implementation and coordination of regional activities under the United Nations Disarmament Information Programme would encourage and facilitate the development of effective measures of confidence-building, arms limitation and disarmament in these regions, Welcoming the programme of activities carried out by the regional centres, which have contributed substantially to understanding and cooperation among the States in each particular region and have thereby strengthened the role assigned to each regional centre in the areas of peace, disarmament and development, Recognizing the need to provide the centres with financial viability and stability so as to facilitate the effective planning and implementation of their respective programmes of activities, Expressing its gratitude to the Member States and international governmental and non-governmental organizations and foundations that have contributed to the trust funds of the three regional centres, 1. Commends the activities being carried out by the regional centres in identifying and broadening the understanding of pressing disarmament and security issues and exploring optimum solutions under given specific conditions prevailing in each region, in accordance with their mandates; A/C.1/49/L.26 in promoting cooperation with subregional and regional organizations and among the States in their respective regions to facilitate the development of effective measures of confidence-building, arms limitation and disarmament, with a view to strengthening peace and security; 3. Encourages also further use of the potential of the regional centres to maintain the increased interest in and momentum for revitalization of the Organization to meet the challenges of a new phase of international relations in order to fulfil the purposes and principles of the Charter of the United Nations related to peace, disarmament and development, taking into account the guidelines and recommendations for regional approaches to disarmament within the context of global security as adopted by the Disarmament Commission at its 1993 substantive session; 2/ 4. Appeals once again to Member States, as well as to international governmental and non-governmental organizations and foundations, to make voluntary contributions in order to strengthen the programmes of activities of the regional centres and their effective implementation; 5. Requests the Secretary-General to continue to provide all necessary support to the regional centres in carrying out their programmes of activities; 6. Also requests the Secretary-General that the directors of the regional centres should be locally based in order to revitalize the activities of the centres; 7. Also requests the Secretary-General to report to the General Assembly at its fiftieth session on the implementation of resolution 46/37 F and the present resolution, and decides to include in the provisional agenda of its fiftieth session the item entitled ""United Nations Regional Centre for Peace and Disarmament in Africa, United Nations Regional Centre for Peace and Disarmament in Asia and the Pacific and United Nations Regional Centre for Peace, Disarmament and Development in Latin America and the Caribbean"".",11/02/1994,1994_163796,Ecuador,"* On behalf of the States Members of the United Nations that are members of the African Group of States. 1/ A/49/389. 2/ Official Records of the General Assembly , Forty-eighth Session, Supplement No. 42 (A/48/42), annex II.",yes
1994,Special Political And Decolonization Committee,Forty-ninth session,18,IMPLEMENTATION OF THE DECLARATION ON THE GRANTING OF INDEPENDENCE TO COLONIAL COUNTRIES AND PEOPLESQUESTION OF WESTERN SAHARA,"Algeria, Angola, Antigua and Barbuda, Bahamas, Barbados, Belize, Bolivia, Botswana, Burundi, Chile, Colombia, Congo, Costa Rica, Cuba, Cyprus, Democratic Peopleâs Republic of Korea, Dominica, Ecuador, El Salvador, Ethiopia, Fiji, Ghana, Grenada, Guyana, Haiti, Honduras, Jamaica, Kenya, Lao Peopleâs Democratic Republic, Lesotho, Malawi, Marshall Islands, Mauritania, Mauritius, Mexico, Micronesia (Federated States of), Mozambique, Namibia, Nicaragua, Nigeria, Panama, Papua New Guinea, Paraguay, Rwanda, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines, Seychelles, Sierra Leone, Trinidad and Tobago, Uganda, United Republic of Tanzania, Uruguay, Vanuatu, Venezuela, Viet Nam, Zambia and Zimbabwe",N/A,N/A,"The General Assembly , Having considered in depth the question of Western Sahara, Reaffirming the inalienable right of all peoples to self-determination and independence, in accordance with the principles set forth in the Charter of the United Nations and in General Assembly resolution 1514 (XV) of 14 December 1960, containing the Declaration on the Granting of Independence to Colonial Countries and Peoples, Recalling its resolution 48/49 of 10 December 1993, Recalling also the agreement in principle given on 30 August 1988 by the Kingdom of Morocco and the Frente Popular para la LiberaciÃ©n de Saguia el-Hamra y de Rio de Oro to the proposals of the Secretary-General of the United Nations and the current Chairman of the Assembly of Heads of State and Government of the Organization of African Unity in the context of their joint mission of good offices, Recalling further Security Council resolutions 621 (1988) of 20 September 1988, 658 (1990) of 27 June 1990, 690 (1991) of 29 April 1991, 725 (1991) of 31 December 1991 and 809 (1993) of 2 March 1993 relating to the question of Western Sahara, Recalling with satisfaction the entry into force of the cease-fire in Western Sahara on 6 September 1991, in accordance with the proposal of the Secretary-General accepted by the two parties, Taking note of the adoption by the Security Council on 29 March 1994 of resolution 907 (1994), Taking note also of the statement by the President of the Security Council on 29 July 1994, 1/ Welcoming the appointment of Mr. Erik Jensen as Deputy Special Representative of the Secretary-General for Western Sahara and the progress made, under his leadership, by the Identification Commission of the United Nations Mission for the Referendum in Western Sahara, Stressing the importance and usefulness of the resumption of direct talks between the two parties mentioned above in order to create a propitious atmosphere conducive to a speedy and effective implementation of the settlement plan, Having examined the relevant chapter of the report of the Special Committee on the Situation with regard to the Implementation of the Declaration on the Granting of Independence to Colonial Countries and Peoples, 2/ Having also examined the report of the Secretary-General, 3/ 1. Takes note with appreciation of the report of the Secretary-General; 2. Pays tribute to the Secretary-General and the United Nations Mission for the Referendum in Western Sahara personnel for their action with a view to settling the question of Western Sahara by the implementation of the settlement plan; 1/. S/PRST/1994/39. 2/ A/49/23 (Part V), chap. VIII. 3. Reiterates its support for further efforts of the Secretary-General for the organization and supervision by the United Nations, in cooperation with the Organization of African Unity, of a referendum for self-determination of the people of Western Sahara, in conformity with Security Council resolutions 658 (1990) and 690 (1991) by which the Council adopted the settlement plan for Western Sahara; 4. Reaffirms that the goal on which all were agreed consists in the holding of a free, fair and impartial referendum for the people of Western Sahara, organized and conducted by the United Nations in cooperation with the Organization of African Unity and without any military or administrative constraints, in conformity with the settlement plan; 5. Endorses the contents of the statement of 29 July 1994 by the President of the Security Council in which the Council, inter alia, welcomes the progress made to date on the issues outlined in the Secretary-Generalâs report towards the implementation of the settlement plan; commends, in particular, the work of the Identification Commission and the efforts of the Deputy Special Representative pursuant to resolution 907 (1994) of 29 March 1994; and urges the two parties to continue to cooperate with the Secretary-General and the United Nations Mission for the Referendum in Western Sahara to ensure the earliest possible implementation of the settlement plan; 1/ 6. Expresses the hope that direct talks between the two parties will soon resume in order to create a propitious atmosphere conducive to a speedy and effective implementation of the settlement plan; 7. Requests the Special Committee on the Situation with regard to the Implementation of the Declaration on the Granting of Independence to Colonial Countries and Peoples to continue to consider the situation in Western Sahara, bearing in mind the ongoing referendum process, and to report thereon to the General Assembly at its fiftieth session; 8. Invites the Secretary-General to submit to the General Assembly at its fiftieth session a report on the implementation of the present resolution.",10/27/1994,1994_163913,Ecuador,"1/. S/PRST/1994/39. 2/ A/49/23 (Part V), chap. VIII.",yes
