year,Council,Session,Agenda item,Agenda detail,cosponsored countries,body title number,body title detail,body text,date,file,filecountry,footnote,scanned
1994,General Assembly,Forty-eighth session,181,EMERGENCY ASSISTANCE TO THE REPUBLIC OF MOLDOVA,"Albania, Algeria, Armenia, Azerbaijan, Belarus, Bulgaria, Croatia, Cyprus, Estonia, Georgia, Guatemala, Hungary, Israel, Kazakhstan, Kyrgyzstan, Latvia, Lithuania, Mauritius, Mongolia, Nepal, Nicaragua, Poland, Republic of Moldova, Romania, Russian Federation, Sudan, Tajikistan, the former Yugoslav Republic of Macedonia, Turkey, Turkmenistan, Ukraine and Uzbekistan",N/A,N/A,"The General Assembly , Deeply concerned about the extensive damage and devastation caused by the severe drought, followed by a hurricane and unprecedented floods in the Republic of Moldova, Noting with concern the destruction of thousands of dwellings and the damage to major sectors of the national infrastructure, Recognizing the efforts of the Government of the Republic of Moldova to provide relief and emergency assistance to the people affected by the flood and hurricane, Noting that the earnest efforts of the Government of the Republic of Moldova to promote the economic reform programmes will be hampered by these calamities, 1. Declares its solidarity with the Government and people of the Republic of Moldova in their affliction; 2. Commends the efforts of the international community, including the organs and organizations of the United Nations system, to supplement the efforts of the Government of the Republic of Moldova in relief operations and emergency assistance; urgent basis, further support to the Republic of Moldova to alleviate the economic and financial burden borne by the Moldovan people; 4. Calls upon the Secretary-General, in cooperation with the relevant organs and organizations of the United Nations system and in close cooperation with the government authorities, to assist in the rehabilitation efforts of the Government of the Republic of Moldova.",09/14/1994,1994_161668,Turkmenistan,N/A,yes
1994,Economic And Social Council,Forty-ninth session,12,REPORT OF THE ECONOMIC AND SOCIAL COUNCIL,"Algeria, Antigua _and Barbuda, Argentina, Armenia, Austria, Azerbaijan, Belgium, Benin, Bolivia, Bhutan, Brazil, Cambodia, Canada, Cape Verde, Chile, China, Colombia, Congo, Costa Rica, Cuba, Czech Republic, Denmark, Egypt, El Salvador, Eritrea, Ethiopia, Finland, France, Gabon, Gambia, Germany, Greece, Guinea, Guinea-Bissau, Guyana, Honduras, India, Indonesia, Ireland, Italy, Jamaica, Japan, Jordan, Kyrgyzstan, Lao Peopleâs Democratic Republic, Lebanon, Luxembourg, Madagascar, Mali, Mexico, Micronesia (Federated States of), Mongolia, Morocco, Myanmar, Namibia, Nepal, Netherlands, Niger, Norway, Panama, Paraguay, Peru, Philippines, Portugal, Samoa, Senegal, Spain, Sudan, Suriname, Sweden, Tunisia, Turkmenistan, United Kingdom of Great Britain and Northern Ireland, United States of America, Venezuela, Viet Nam and Zambia",N/A,Twenty-fifth anniversary of the operations of the United Nations Population Fund,"The General Assembly , Recalling its resolution 2211 (XXI) of 17 December 1966, in response to which a trust fund, subsequently named the United Nations Fund for Population Activities, was established in 1967 by the Secretary-General, Taking note that the United Nations Fund for Population Activities, renamed in 1987 as the United Nations Population Fund, began operations in 1969, Recalling also its resolutions 3019 (XXVII) of 18 December 1972, 31/170 of 21 December 1976, and 34/104 of 14 December 1979, in which it, inter alia, recognized the leading role and effectiveness of the Fund in the United Nations system in the population field and affirmed the Fund as a subsidiary body of the General Assembly , Reaffirming Economic and Social Council resolutions 1763 (LIV) of 18 May 1973 and 1986/7 of 21 May 1986 stating the aims and purposes of the Fund, 1. Congratulates the United Nations Population Fund on the occasion of its twenty-fifth anniversary; 2. Notes with satisfaction the positive contributions the Fund and its dedicated staff have made during its first twenty-five years in promoting better understanding and awareness of population and development issues, in improving the quality of human life, and in extending systematic and sustained assistance to developing countries, at their request, to undertake appropriate national programmes to address their population and development needs.",10/19/1994,1994_163748,Turkmenistan,N/A,yes
1994,General Assembly,Forty-ninth session,152,OBSERVER STATUS FOR THE INTERNATIONAL FEDERATION OF RED CROSS AND RED CRESCENT SOCIETIES IN THE GENERAL ASSEMBLY,"Afghanistan, Algeria, Antigua _and Barbuda, Armenia, Australia, Austria, Bahamas, Bangladesh, Barbados, Belarus, Belize, Benin, Bhutan, Bolivia, Bulgaria, Burkina Faso, Cambodia, Cameroon, Canada, Cape Verde, Chile, Colombia, Congo, Costa Rica, CÃ©te dâIvoire, Croatia, Cyprus, Democratic Peopleâs Republic of Korea, Denmark, Djibouti, Dominican Republic, Ecuador, El Salvador, Eritrea, Estonia, Ethiopia, Fiji, Finland, Gambia, Georgia, Ghana, Guatemala, Guinea, Honduras, Hungary, Iceland, Indonesia, Iraq, Jordan, Kazakhstan, Kyrgyzstan, Lao Peopleâs Democratic Republic, Liberia, Libyan Arab Jamahiriya, Liechtenstein, Madagascar, Malawi, Malaysia, Maldives, Mali, Malta, Marshall Islands, Mauritania, Mexico, Micronesia (Federated States of) Mongolia, Morocco, Mozambique, Myanmar, Namibia, Nepal, New Zealand, Norway, Oman, Pakistan, Panama, Papua New Guinea, Peru, Poland, Qatar, Republic of Korea, Saint Lucia, Samoa, San Marino, Saudi Arabia, Senegal, Sierra Leone, Slovakia, Solomon Islands, Sudan, Sweden, Thailand, Togo, Tunisia, Turkey, Ukraine, Vanuatu, Venezuela, Yemen and Zimbabwe",N/A,Addendum,"Add the following countries to the list of sponsors of the resolution: Albania, Azerbaijan, Chad, China, Comoros, Dominica, Gabon, Grenada, Guinea-Bissau, Guyana, Iran (Islamic Republic of), Italy, Kuwait, Latvia, Lithuania, Nicaragua, Niger, Paraguay, Republic of Moldova, Slovenia, South Africa, Spain, Suriname, Tajikistan, the former Yugoslav Republic of Macedonia, Trinidad and Tobago, Turkmenistan, Uganda, United Arab Emirates, United Republic of Tanzania _ and Viet Nam",10/19/1994,1994_163786,Turkmenistan,N/A,yes
1994,General Assembly,Forty-ninth session,27,COOPERATION BETWEEN THE UNITED NATIONS AND THE CONFERENCE ON SECURITY AND COOPERATION IN EUROPE,"Albania, Austria, Azerbaijan, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Canada, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, Ireland, Italy, Kazakhstan, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Monaco, Netherlands, Norway, Poland, Portugal, Republic of Moldova, Romania, Russian Federation, San Marino, Slovakia, Slovenia, Spain, Sweden, the former Yugoslav Republic of Macedonia, Turkey, Ukraine, United Kingdom of Great Britain and Northern Ireland, United States of America and Uzbekistan",N/A,Addendum,"Add the following countries to the list of sponsors of the resolution: Iceland, Kyrgyzstan, Tajikistan and Turkmenistan",11/15/1994,1994_164364,Turkmenistan,N/A,yes
1994,First Committee,Forty-ninth session,57,COMPREHENSIVE TEST-BAN TREATY,"Afghanistan, Algeria, Argentina, Armenia, Australia, Austria, Bangladesh, Belarus, Brazil, Brunei Darussalam, Bulgaria, Canada, Chile, Costa Rica, Croatia, Cuba, Czech Republic, Denmark, Ecuador, Estonia, Fiji, Finland, Germany, Greece, Guatemala, Guinea, Haiti, Honduras, Hungar Iceland, India, Indonesia, Iran (Islamic Republic of), Ireland, Italy, Japan, Kazakhstan, Kenya, Kuwait, Latvia, Lithuania, Luxembourg, Madagascar, Malta, Malaysia, Marshall Islands, Mauritius, Mexico, Micronesia (Federated States of), Mongolia, Myanmar, Nepal, Netherlands, New Zealand, Nicaragua, Nigeria, Norway, Papua New Guinea, Philippines, Poland, Portugal, Republic of Korea, Republic of Moldova, Romania, Samoa, Senegal, Singapore, Slovakia, Solomon Islands, South Africa, Spain, Sri Lanka, Sweden, Thailand, Turkey, Turkmenistan, Ukraine, Venezuela and Viet Nam:",N/A,Comprehensive nuclear test-ban treat,"The General Assembly , Recalling its resolution 48/70 of 16 December 1993, in which the entire international community, for the first time, supported the commencement of multilateral negotiations on a comprehensive nuclear test-ban treaty, Reaffirming that a comprehensive nuclear test ban is one of the highest priority objectives of the international community in the field of disarmament and non-proliferation, Convinced that the most effective way to achieve an end to nuclear testing is through the conclusion of a universal and internationally and effectively verifiable comprehensive nuclear test-ban treaty which will attract the adherence of all States and which will contribute to the prevention of the proliferation of nuclear weapons in all its aspects, to the process of nuclear disarmament and therefore to the enhancement of international peace and security, Reaffirming the conviction that the exercise of utmost restraint in respect of nuclear testing would be consistent with the negotiation of a comprehensive nuclear test-ban treaty, Noting the aspirations expressed by the parties to the 1963 Treaty Banning Nuclear Weapon Tests in the Atmosphere, in Outer Space and under Water 1/ to seek to achieve the discontinuance of all test explosions of nuclear weapons for all time, which are recalled in the preamble to the 1968 Treaty on the Non-Proliferation of Nuclear Weapons, 2/ Welcoming the preparation of a rolling text in the Ad Hoc Committee on a Nuclear Test Ban of the Conference on Disarmament, as reflected in the report of the Conference and its appendix, 3/ and noting the decision of the Conference to continue its work in inter-sessional meetings, 1. Welcomes the multilateral negotiation on a comprehensive nuclear test- ban treaty in the Ad Hoc Committee on a Nuclear Test Ban of the Conference on Disarmament, and the positive and substantial contributions to the elaboration of the rolling text made by States participating in those negotiations; 2. Calls upon participants in the Conference on Disarmament to advance work on the basis of the rolling text during the inter-sessional negotiating period with a view to making substantial progress; 3. Calls _also_ upon the Conference on Disarmament, upon the re-establishment of the Ad Hoc Committee on a Nuclear Test Ban at the commencement of its 1995 session and renewal of its mandate, to proceed to a new phase of negotiation; 4. Urges all States participating in the Conference on Disarmament, in particular the nuclear-weapon States, to negotiate intensively, as a high priority task, and to conclude a universal and multilaterally and effectively verifiable comprehensive nuclear test-ban treaty which contributes to nuclear disarmament and the prevention of the proliferation of nuclear weapons in all its aspects; 5. Calls once more upon all States to support the multilateral negotiations in the Conference on Disarmament for a comprehensive nuclear test- ban treaty and their conclusion without delay; 6. Requests the Secretary-General to ensure the provision to the Conference on Disarmament of adequate administrative, substantive and conference support services for these negotiations; 7. Decides to include in the provisional agenda of its fiftieth session the item entitled ""Comprehensive test-ban treaty"".",11/16/1994,1994_165025,Turkmenistan,"1/ United Nations, Treaty Series, vol. 480, No. 6964. 2/ Ibid, vol. 729, No. 10485.",yes
1994,Third Committee,Forty-ninth session,99,"REPORT OF THE UNITED NATIONS HIGH COMMISSIONER FOR REFUGEES, QUESTIONS RELATING TO REFUGEES, RETURNEES AND DISPLACED PERSONS AND HUMANITARIAN QUESTIONS","Armenia, Azerbaijan, Belarus, Georgia, Kazakhstan, Kyrgyzstan, Russian Federation, Tajikistan and Turkmenistan",N/A,"Comprehensive consideration and review of the problems of refugees, returnees, displaced persons and related migratory movements","The General Assembly , Recalling its resolution 48/113 of 20 December 1993, Having considered the report of the Secretary-General 1/ and the concerns expressed therein about the magnitude of existing and potential refugee and related migratory movements in the Commonwealth of Independent States and relevant neighbouring States, Reaffirming the need for the international community to consider comprehensive approaches for the coordination of action with regard to refugees, returnees, displaced persons and related migratory movements, 1. Calls upon the United Nations High Commissioner for Refugees, in consultation with concerned States and in coordination with relevant intergovernmental and non-governmental organizations, to continue to consider comprehensive regional approaches to the problems of refugees and displaced persons; i/ A/49/533. 2. Also calls upon the High Commissioner to continue her efforts to promote and develop a preparatory process, leading to the convening, not later than 1996, of a regional conference to address the problems of refugees, displaced persons, other forms of involuntary displacement and returnees in the Commonwealth of Independent States and other relevant neighbouring States, and urges States and the intergovernmental and non-governmental organizations concerned to support that process, including follow-up measures; 3. Invites Member States and the specialized agencies, other international organizations, relevant United Nations bodies, regional organizations and non-governmental organizations concerned to continue consultations on the appropriateness of convening a global conference on the problems of refugees, returnees and displaced persons, bearing in mind the results of prior relevant conferences; 4. Requests the Secretary-General to report to the General Assembly at its fiftieth session on the implementation of the present resolution.",11/22/1994,1994_165036,Turkmenistan,N/A,yes
1994,Second Committee,Forty-ninth session,88 (e),SUSTAINABLE DEVELOPMENT AND INTERNATIONAL ECONOMIC COOPERATION: INTEGRATION OF THE ECONOMIES IN TRANSITION INTO THE WORLD ECONOMY,"Afghanistan, Albania, Armenia, Austria, Azerbaijan, Belgium, Bulgaria, Canada, Croatia, Czech Republic, Denmark, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, Iceland, Ireland, Italy, Kazakhstan, Kyrgyzstan, Latvia, Liechtenstein, Lithuania, Luxembourg, Netherlands, Norway, Poland, Portugal, Republic of Moldova, Romania, Russian Federation, Slovakia, Slovenia, Spain, Sweden, Tajikistan, Turkey, Turkmenistan, Ukraine, United Kingdom of Great Britain and Northern Ireland and United States of America",N/A,Integration of the economies in transition into the world econom,"The General Assembly , Reaffirming its resolution 48/181 of 21 December 1993 and all its other relevant resolutions, Taking note of the relevant decisions of the Economic Commission for Europe, namely decisions B (49) and C (49), both adopted on 26 April 1994, 1/ and the relevant resolutions of the Economic and Social Commission for Asia and the Pacific, namely 50/1 and 50/2, both adopted on 13 April 1994, 2/ Taking note also of the report of the Secretary-General on the integration of the economies in transition into the world economy, 3/ the Economic survey of Europe in 1993-1994, 4/ the Economic and Social Survey of Asia and the Pacific, 1993, 5/ and the World Economic and Social Survey, 1994, 6/ Noting the ongoing efforts of the International Monetary fund and the World Bank to encourage sound macroeconomic policies, Reaffirming the need for the full integration of countries in transition from centrally planned to market economies, as well as all other countries, into the world economy, 1. Invites the United Nations system to continue its support for the efforts of economies in transition as they transform their economies and integrate them into the world economy through, inter alia, adoption of the international standards and practices of countries with market economies; 2. Welcomes the measures undertaken by the United Nations system to strengthen its abilities in response to General Assembly resolution 48/181 on the economies in transition, and calls upon the United Nations system to continue to conduct analytical activities, and to provide policy advice and technical assistance to the economies in transition, tailored to each countryâs respective stage of economic transformation; 3. Calls upon the United Nations system to continue studying, within the scope of the implementation of the present resolution and while continuing the existing cooperation with relevant international institutions and entities, possible ways of enhancing economic and technical cooperation among countries with economies in transition, as well as with developing countries, identifying how the United Nations system can strengthen cooperation, while avoiding duplication, with a view to encouraging greater participation by those countries in the world economy; 4, Requests the Secretary-General to submit a report on the implementation of the present resolution to the General Assembly at its fifty- first session.",11/25/1994,1994_165106,Turkmenistan,"1/ See Official Records of the Economic and Social Council, 1994, Supplement No. 17 (E/1994/37), chap. IV. 2/ Ibid., Supplement No. 16 (E/1994/36), chap. IV. 3/ A/49/330. 4/ United Nations publication, Sales No. E.94.II.E. 1. 5/ United Nations publication, Sales No. E.94.II.F.8.",yes
1994,Third Committee,Forty-ninth session,100 (b),"HUMAN RIGHTS QUESTIONS: HUMAN RIGHTS QUESTIONS,INCLUDING ALTERNATIVE APPROACHES FOR IMPROVINGTHE EFFECTIVE ENJOYMENT OF HUMAN RIGHTS AND FUNDAMENTAL FREEDOMS","Afghanistan, Albania, Algeria, Azerbaijan, Bangladesh, Bosnia and Herzegovina, Brazil, Cambodia, Colombia, Croatia, Cuba, Ecuador, Egypt, Georgia, Guatemala, India, Kyrgyzstan, Morocco, Nigeria, Panama, Peru, Republic of Korea, Sierra Leone, Sri Lanka, Tajikistan, the former Yugoslav Republic of Macedonia, Turkey, Turkmenistan and Urugua",N/A,Human rights and terrorism,"The General Assembl , Guided by the principles embodied in the Charter of the United Nations, the Universal Declaration of Human Rights 1/ and the International Covenants on Human Rights, 2/ Bearing in mind that the most essential and basic human right is the right to life, Recalling the Vienna Declaration and Programme of Action, 3/ adopted by the World Conference on Human Rights, Recalling also its resolution 48/122 of 20 December 1993, Taking note of Commission on Human Rights resolution 1994/46 of 4 March 1994 4/ and Subcommission on Prevention of Discrimination and Protection of Minorities resolution 1994/18 of 25 August 1994, Reiterating that all Member States have an obligation to promote and protect human rights and fundamental freedoms, and also that every individual should strive to secure their universal and effective recognition and observance, Seriously concerned at the gross violations of human rights perpetrated by terrorist groups, Profoundly deploring the increasing number of innocent persons, including women, children and the elderly, killed, massacred and maimed by terrorists in indiscriminate and random acts of violence and terror, which cannot be justified under any circumstances, Noting with great concern the growing connection between the terrorist groups and the illegal traffic in arms and drugs, as well as the consequent commission of serious crimes such as murder, kidnapping, assault and robbery, Mindful of the need to protect human rights of and guarantees for the individual in accordance with the relevant international human rights principles and instruments, particularly the right to life, 1. Reiterates its unequivocal condemnation of all acts, methods and practices of terrorism, which constitute human rights violations aimed at the destruction of fundamental freedoms and democracy, threatening the territorial integrity and security of States, destabilizing legitimately constituted Governments, undermining pluralistic civil society and having adverse consequences on the economic and social development of States; 2. Expresses its solidarity with the victims of terrorism; 3. Calls upon States, in accordance with international standards of human rights, to take all necessary and effective measures to prevent, combat and eliminate all acts of terrorism wherever and by whomever committed, and urges the international community to enhance cooperation in the fight against the threat of terrorism at national, regional and international levels; 4. Requests the Secretary-General to seek the views of Member States on the establishment of a United Nations voluntary fund for victims of terrorism and to submit to the General Assembly at its fiftieth session, for its consideration, a report containing comments made by Member States on the subject; 5. Also requests the Secretary-General to transmit the text of the present resolution to all Member States and to competent specialized agencies and intergovernmental organizations for their consideration; 6. Encourages special rapporteurs, special representatives and working groups of the Commission on Human Rights as well as related treaty bodies to pay particular attention, within their mandate, to the consequences of the acts, methods and practices of terrorist groups; 7. Requests the Commission on Human Rights to continue its consideration of the question as a matter of priority at its fifty-first session; 8. Decides to consider this question at its fiftieth session under the item entitled ""Human rights questions"".",12/02/1994,1994_165966,Turkmenistan,"1/ Resolution 217 A (III). 2/ Resolution 2200 A (XXI), annex. 3/ Report of the World Conference on Human Rights, Vienna, 14-25 June 1993 (A/CONF.157/24 (Part I)), chap. III. 4/ See Official Records of the Economic and Social Council, 1994, Supplement No. 4 (E/1994/24), chap. II, sect. A.",yes
1994,General Assembly,Forty-ninth session,37 (e),"STRENGTHENING OF THE COORDINATION OF HUMANITARIAN AND DISASTER RELIEF ASSISTANCE OF THE UNITED NATIONS, INCLUDING SPECIAL ECONOMIC ASSISTANCE: EMERGENCY INTERNATIONAL ASSISTANCE FOR PEACE, NORMALCY AND RECONSTRUCTION OF WAR-STRICKEN AFGHANISTAN","Afghanistan, Austria, Belgium, Denmark, Finland, France, Germany, Ireland, Japan, Luxembourg, Norway, Russian Federation, Saudi Arabia, Sweden, Turkey, United Kingdom of Great Britain and Northern Ireland, United States of America and Uzbekistan",N/A,"Emergency international assistance for peace, normalcy and reconstruction of war-stricken Afghanistan Addendum","Add the following countries to the list of sponsors of the resolution: Albania, Azerbaijan, Bangladesh, Brunei Darussalam, China, Costa Rica, Czech Republic, Egypt, Georgia, Greece, Honduras, India, Iran, (Islamic Republic of), Italy, Kazakhstan, Latvia, Lithuania, Malaysia, Netherlands, Pakistan, Philippines, Portugal, Republic of Korea, Republic of Moldova, Romania, Slovenia, Spain, Tajikistan, Togo, Tunisia, Turkmenistan and Yemen",12/20/1994,1994_166392,Turkmenistan,N/A,yes
1994,General Assembly,Forty-ninth session,150,COMMEMORATION OF THE FIFTIETH ANNIVERSARY OF THE END OF THE SECOND WORLD WAR,"Argentina, Armenia, Australia, Austria, Azerbaijan, Belarus, Belgium, Brazil, Bulgaria, Canada, China, Denmark, Egypt, El Salvador, Finland, France, Georgia, Germany, Greece, India, Ireland, Israel, Italy, Japan, Kazakhstan, Kyrgyzstan, Luxembourg, Netherlands, New Zealand, Nigeria, Norway, Paraguay, Poland, Portugal, Republic of Korea, Republic of Moldova, Romania, Russian Federation, Spain, Sweden, Tajikistan, Turkmenistan, Ukraine, United Kingdom of Great Britain and Northern Ireland, United States of America and Uzbekistan",N/A,Commemoration of the fiftieth anniversary of the end of the Second World War,"The General Assembly , Recalling that 1995 marks the fiftieth anniversary of the end of the Second World War which brought untold sorrow to mankind, Stressing that this historic event established the conditions for the creation of the United Nations, designed to save succeeding generations from the scourge of war, Solemnly reaffirming the resolute commitment of all Member States to the purposes and principles of the Charter of the United Nations and the obligations which they assumed as Members of the Organization, Stressing that remaining legacies of the Second World War should be overcome, and that all Member States should cooperate in creating a new environment of international harmony, Considering that the Member States should make every effort to put an end to the existing armed conflicts, to prevent the emergence of such conflicts in the future and to settle disputes arising exclusively by peaceful means in conformity with the Charter of the United Nations and in such a manner that international peace and security, and justice, are not endangered, Stressing that it is in the common interests of mankind to promote actively the role and efficiency of the United Nations as a central element of the collective security system and as an effective instrument for the maintenance of international peace and security, 1. Proclaims the year 1995 as World Year of Peopleâs Commemoration of the Victims of the Second World War; 2. Calls upon all States and peoples solemnly to commemorate the fiftieth anniversary of the end of the Second World War; 3. Decides to hold a special solemn meeting of the General Assembly on 18 October 1995 in commemoration of the sacrifices wrought by the War; 4. Requests the Secretary-General to take the necessary measures for the implementation of the present resolution.",11/22/1994,1994_169929,Turkmenistan,N/A,yes
