year,Council,Session,Agenda item,Agenda detail,cosponsored countries,body title number,body title detail,body text,date,file,filecountry,footnote,scanned
1994,General Assembly,Forty-eighth session,181,EMERGENCY ASSISTANCE TO THE REPUBLIC OF MOLDOVA,"Albania, Algeria, Armenia, Azerbaijan, Belarus, Bulgaria, Croatia, Cyprus, Estonia, Georgia, Guatemala, Hungary, Israel, Kazakhstan, Kyrgyzstan, Latvia, Lithuania, Mauritius, Mongolia, Nepal, Nicaragua, Poland, Republic of Moldova, Romania, Russian Federation, Sudan, Tajikistan, the former Yugoslav Republic of Macedonia, Turkey, Turkmenistan, Ukraine and Uzbekistan",N/A,N/A,"The General Assembly , Deeply concerned about the extensive damage and devastation caused by the severe drought, followed by a hurricane and unprecedented floods in the Republic of Moldova, Noting with concern the destruction of thousands of dwellings and the damage to major sectors of the national infrastructure, Recognizing the efforts of the Government of the Republic of Moldova to provide relief and emergency assistance to the people affected by the flood and hurricane, Noting that the earnest efforts of the Government of the Republic of Moldova to promote the economic reform programmes will be hampered by these calamities, 1. Declares its solidarity with the Government and people of the Republic of Moldova in their affliction; 2. Commends the efforts of the international community, including the organs and organizations of the United Nations system, to supplement the efforts of the Government of the Republic of Moldova in relief operations and emergency assistance; urgent basis, further support to the Republic of Moldova to alleviate the economic and financial burden borne by the Moldovan people; 4. Calls upon the Secretary-General, in cooperation with the relevant organs and organizations of the United Nations system and in close cooperation with the government authorities, to assist in the rehabilitation efforts of the Government of the Republic of Moldova.",09/14/1994,1994_161668,Ukraine,N/A,yes
1994,Special Political And Decolonization Committee,Forty-ninth session,75,EFFECTS OF ATOMIC RADIATION,"Argentina, Australia, Austria, Azerbaijan, Belarus, Belgium, Bolivia, Brazil, Canada, China, Costa Rica, Czech Republic, Denmark, Ecuador, Egypt, France, Germany, Greece, India, Indonesia, Ireland, Italy, Japan, Luxembourg, Netherlands, New Zealand, Pakistan, Papua New Guinea, Paraguay, Peru, Poland, Portugal, Republic of Korea, Russian Federation, Spain, Sweden, Ukraine, United Kingdom of Great Britain and Northern Ireland, United States of America and Uruguay",N/A,N/A,"The General Assembly , Recalling its resolution 913 (X) of 3 December 1955, by which it established the United Nations Scientific Committee on the Effects of Atomic Radiation, and its subsequent resolutions on the subject, including resolution 48/38 of 10 December 1993, in which, inter alia, it requested the Scientific Committee to continue its work, Taking note with appreciation of the report of the United Nations Scientific Committee on the Effects of Atomic Radiation, 1/ Reaffirming the desirability of the Scientific Committee continuing its work, Reissued for technical reasons. Concerned about the potentially harmful effects on present and future generations resulting from the levels of radiation to which mankind and the environment are exposed, Conscious of the continued need to examine and compile information about atomic and ionizing radiation and to analyse its effects on mankind and the environment, 1. Commends the United Nations Scientific Committee on the Effects of Atomic Radiation for the valuable contribution it has been making in the course of the past thirty-nine years, since its inception, to wider knowledge and understanding of the levels, effects and risks of atomic radiation and for fulfilling its original mandate with scientific authority and independence of judgement; 2. Notes with satisfaction the completion in 1994 of the twelfth comprehensive report of the Scientific Committee entitled Sources and Effects of Ionizing Radiation, 2/ thereby providing to the scientific and world community its latest evaluations of the sources and effects of ionizing radiation; 3. Requests the Scientific Committee to continue its work, including its important activities, to increase knowledge of the levels, effects and risks of ionizing radiation from all sources; 4. Endorses the intentions and plans of the Scientific Committee for its future activities of scientific review and assessment on behalf of the General Assembly; 5. Also requests the Scientific Committee to continue at its next session the review of the important problems in the field of radiation and to report thereon to the General Assembly at its fiftieth session; 6. Requests the United Nations Environment Programme to continue providing support for the effective conduct of the work of the Scientific Committee and for the dissemination of its findings to the General Assembly , the scientific community and the public; 7. Expresses its appreciation for the assistance rendered to the Scientific Committee by Member States, the specialized agencies, the International Atomic Energy Agency and non-governmental organizations, and invites them to increase their cooperation in this field; 8. Invites Member States, the organizations of the United Nations system and non-governmental organizations concerned to provide further relevant data about doses, effects and risks from various sources of radiation, which would greatly help in the preparation of future reports of the Scientific Committee to the General Assembly .",10/17/1994,1994_163271,Ukraine,"1/ Official Records of the General Assembly , Forty-ninth Session, Supplement No. 46 (A/49/46). 2/ United Nations publication, Sales No. E.94.1X.1 1.",yes
1994,General Assembly,Forty-ninth session,14,REPORT OF THE INTERNATIONAL ATOMIC ENERGY AGENCY,"Argentina, Australia, Belgium, Bulgaria, Croatia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Japan, Marshall Islands, Micronesia (Federated States of), Netherlands, New Zealand, Norway, Poland, Portugal, Republic of Korea, Romania, Singapore, Spain, Sweden, Turkey, Ukraine, United Kingdom of Great Britain and Northern Ireland and United States of America",N/A,N/A,"The General Assembly , Having received the report of the International Atomic Energy Agency to the General Assembly for the year 1993, 1/ Noting the statement of the Director General of the International Atomic Energy Agency of 17 October 1994, 2/ in which he provided additional information on the main developments in the activities of the Agency during 1994, Recognizing the importance of the work of the Agency in promoting the further application of nuclear energy for peaceful purposes, as envisaged in its statute, Also recognizing the special needs of the developing countries for technical assistance from the Agency in order to benefit effectively from the application of nuclear technology for peaceful purposes as well as from the contribution of nuclear energy to their economic development, Conscious of the importance of the work of the Agency in the implementation of the safeguards provisions of the Treaty on the Non-Proliferation of Nuclear Weapons and other international treaties, conventions and agreements designed to achieve similar objectives, as well as in ensuring, as far as it is able, that the assistance provided by the Agency or at its request or under its supervision or control is not used in such a way as to further any military purpose, as stated in article II of its statute, Further recognizing the importance of the work of the Agency on nuclear power, applications of nuclear methods and techniques, nuclear safety, radiological protection and radioactive waste management, including its work directed towards assisting developing countries in all these fields, Again stressing the need for the highest standards of safety in the design and operation of nuclear plants so as to minimize risks to life, health and the environment, Noting from the Director Generalâs statement that the Agency is now ina position to implement its ongoing Monitoring and Verification Plan in Iraq, Taking note of resolutions GOV/2711 of 21 March 1994 and GOV/2742 of 10 June 1994 of the Board of Governors and GC(XXXVIII)/RES/16 of the General Conference of the International Atomic Energy Agency in connection with the implementation of the agreement between the Agency and the Democratic Peopleâs Republic of Korea for the application of safeguards in connection with the Treaty on the Non-Proliferation of Nuclear Weapons, as well as the statements of the President of the Security Council of 31 March 1994 and of 30 May 1994, and expressing its grave concern that the Democratic Peopleâs Republic of Korea has failed to discharge its safeguards obligations; and supporting all efforts, including ongoing bilateral discussions, which can contribute to the full implementation by the DPRK of its Safeguards Agreement (INFCIRC/403), Bearing in mind resolutions GC(XXXVIII)/RES/6 on measures to resolve international radioactive waste management issues, GC(XXXVIII)/RES/7 on a plan for producing potable water economically, GC(XXXVIII)/RES/8 on the strengthening of the Agencyâs technical cooperation activities, GC(XXXVIII)/RES/10 on strengthening the effectiveness and improving the efficiency of the safeguards system, GC(XXXVIII)/RES/16 on the implementation of the agreement between the Agency and the Democratic Peopleâs Republic of Korea for the application of safeguards in connection with the Treaty on the Non-Proliferation of Nuclear Weapons, GC(XXXVIII)/RES/17 on a nuclear-weapon-free zone in Africa, GC (XXXVIII) /RES/19 on the implementation of Security Council resolutions 687 (1991), 707 (1991) and 715 (1991) relating to Iraq, GC(XXXVIII)/RES/21 on application of Agency safeguards in the Middle East, adopted on 23 September 1994 by the General Conference of the Agency at its thirty-eighth regular session and resolution GC(XXXVIII)RES/15 on measures against the illicit trafficking in nuclear material adopted on 23 September 1994 by the General Conference of the Agency at its thirty-eighth regular session, Welcoming the resolution GC(XXXVIII)/RES/18 of the General Conference of the International Atomic Energy Agency inviting South Africa to resume participation in all activities of the Agency, Noting the adoption and opening for signature of the Convention on Nuclear Safety at the Agency headquarters in Vienna, 1. Takes note of the report of the International Atomic Energy Agency; 1/ 2. Affirms its confidence in the role of the Agency in the application of nuclear energy for peaceful purposes; 3. Urges all States to strive for effective and harmonious international cooperation in carrying out the work of the Agency, pursuant to its statute; in promoting the use of nuclear energy and the application of the necessary measures to strengthen further the safety of nuclear installations and to minimize risks to life, health and the environment; in strengthening technical assistance and cooperation for developing countries; and in ensuring the effectiveness and efficiency of the safeguards systems of the Agency; 4. Welcomes the measures and decisions taken by the Agency to strengthen the safeguards system; 5. Welcomes the decisions taken by the Agency to strengthen its technical assistance and cooperation activities; 6. Commends the Director General and the secretariat of the Agency for their impartial efforts to implement the safeguards agreement still in force between the Agency and the Democratic Peopleâs Republic of Korea and urges the Democratic Peopleâs Republic of Korea to cooperate immediately with the Agency in the full implementation of the safeguards agreement and to allow the Agency to have access to all safeguards-relevant information and locations; 7. Also commends the Director General of the Agency and his staff for their strenuous efforts in the implementation of Security Council resolutions 687 (1991) of 3 April 1991, 707 (1991) of 15 August 1991 and 715 (1991) of 11 October 1991 and stresses the need for Iraq to cooperate fully with the Agency in achieving the complete and long-term implementation of the relevant Security Council resolutions; 8. Calls upon all States to take all necessary measures to prevent illicit trafficking in nuclear material and welcomes the initiatives taken by the Agency to intensify international cooperation efforts in this respect; 9. Appeals to all States to become parties to the Convention on Nuclear Safety; 10. Requests the Secretary-General to transmit to the Director General of the Agency the records of the forty-ninth session of the General Assembly relating to the activities of the Agency.",10/14/1994,1994_163298,Ukraine,"1/ International Atomic Energy Agency, The Annual Report for 1993 (Austria, July 1993) GC(XXXVIII)/2); transmitted to the members of the General Assembly by a note of the Secretary-General (A/49/297 and Corr.1). 2/ See Official Records of the General Assembly , Forty-ninth Session, Plenary Meetings, ...th meeting (A/49/PV...).",yes
1994,General Assembly,Forty-ninth session,152,OBSERVER STATUS FOR THE INTERNATIONAL FEDERATION OF RED CROSS AND RED CRESCENT SOCIETIES IN THE GENERAL ASSEMBLY,"Afghanistan, Algeria, Antigua _and Barbuda, Armenia, Australia, Austria, Bahamas, Bangladesh, Barbados, Belarus, Belize, Benin, Bhutan, Bolivia, Bulgaria, Burkina Faso, Cambodia, Cameroon, Canada, Cape Verde, Chile, Colombia, Congo, Costa Rica, CÃ©te dâIvoire, Croatia, Cyprus, Democratic Peopleâs Republic of Korea, Denmark, Djibouti, Dominican Republic, Ecuador, El Salvador, Eritrea, Estonia, Ethiopia, Fiji, Finland, Gambia, Georgia, Ghana, Guatemala, Guinea, Honduras, Hungary, Iceland, Indonesia, Iraq, Jordan, Kazakhstan, Kyrgyzstan, Lao Peopleâs Democratic Republic, Liberia, Libyan Arab Jamahiriya, Liechtenstein, Madagascar, Malawi, Malaysia, Maldives, Mali, Malta, Marshall Islands, Mauritania, Mexico, Micronesia (Federated States of) Mongolia, Morocco, Mozambique, Myanmar, Namibia, Nepal, New Zealand, Norway, Oman, Pakistan, Panama, Papua New Guinea, Peru, Poland, Qatar, Republic of Korea, Saint Lucia, Samoa, San Marino, Saudi Arabia, Senegal, Sierra Leone, Slovakia, Solomon Islands, Sudan, Sweden, Thailand, Togo, Tunisia, Turkey, Ukraine, Vanuatu, Venezuela, Yemen and Zimbabwe",N/A,N/A,"The General Assembly , Recalling the special functions of the member societies of the International Federation of Red Cross and Red Crescent Societies which are recognized by their respective Governments as auxiliaries to the public authorities in the humanitarian field on the basis of the Geneva Conventions of 12 August 1949, Considering the specific role of the International Federation of Red Cross and Red Crescent Societies in international humanitarian relations as further defined by the International Conference of the Red Cross and Red Crescent, Desirous of promoting cooperation between the United Nations and the International Federation of Red Cross and Red Crescent Societies, 1. Decides to invite the International Federation of Red Cross and Red Crescent Societies to participate in the sessions and the work of the General Assembly in the capacity of observer; 2. Requests the Secretary-General to take the necessary action to implement the present resolution.",10/17/1994,1994_163336,Ukraine,N/A,yes
1994,First Committee,Forty-ninth session,62 (e),GENERAL AND COMPLETE DISARMAMENT: TRANSPARENCY IN ARMAMENTS,"Argentina, Australia, Austria, Bahamas, Belarus, Belgium, Bhutan, Bolivia, Brazil, Bulgaria, Cambodia, Canada, Cape Verde, Chile, Costa Rica, Czech Republic, Denmark, Estonia, Fiji, Finland, France, Georgia, Germany, Greece, Guatemala, Guinea, Guyana, Honduras, Hungary, Iceland, Ireland, Italy, Japan, Kazakhstan, Kyrgyzstan, Latvia, Liechtenstein, Lithuania, Luxembourg, Malaysia, Mali, Malta, Marshall Islands, Namibia, Nepal, Netherlands, New Zealand, Nicaragua, Niger, Norway, Panama, Papua New Guinea, Peru, Poland, Portugal, Republic of Korea, Republic of Moldova, Romania, Russian Federation, Sierra Leone, Singapore, Slovakia, Slovenia, Solomon Islands, Spain, Sweden, the former Yugoslav Republic of Macedonia, Turkey, Ukraine, United Kingdom of Great Britain and Northern Ireland and _ the United States of America",N/A,Transparency in armaments,"The General Assembly , Recalling its resolutions 46/36 L of 9 December 1991, 47/52 L of 15 December 1992 and 48/75 E of 16 December 1993 entitled ""Transparency in armaments"", Continuing to take the view that an enhanced level of transparency in armaments contributes greatly to confidence-building and security among States and that the establishment of the Register of Conventional Arms 1/ constitutes an important step forward in the promotion of transparency in military matters, Welcoming the consolidated report of the Secretary-General on the Register of Conventional Arms, 2/ which includes the returns for 1993 of Member States, Welcoming the response of Member States to the request contained in paragraphs 9 and 10 of resolution 46/36 L to provide data on their imports and exports of arms, as well as available background information regarding their military holdings, procurement through national production and relevant policies, Stressing that the continuing operation of the Register and its further development should be reviewed in order to secure a Register which is capable of attracting the widest possible participation, Taking note of the report of the Conference on Disarmament on its agenda item entitled ""Transparency in armaments"", 1. Reaffirms its determination to ensure the effective operation of the Register of Conventional Arms as provided for in paragraphs 7, 8, 9 and 10 of resolution 46/36 L; 2. Takes note of the report of the Secretary-General on the continuing operation of the Register and its further development 3/ and the recommendations contained therein; 3. Calls upon Member States to provide the requested data and information for the Register, on the basis of resolutions 46/36 L, 47/52 L and the annex and appendices to the report of the Secretary-General on the continuing operation of the Register and its further development, to the Secretary-General by 30 April annually; 4. Decides, with a view to further development of the Register, to keep the scope of and participation in the Register under review, and, to this end: (a) Requests Member States to provide the Secretary-General with their views on the continuing operation of the Register and its further development; (b) Requests the Secretary-General, with the assistance of a group of governmental experts to be convened in 1996 on the basis of equitable geographical representation, to prepare a report on the continuing operation of the Register and its further development, taking into account the work of the Conference on Disarmament and the views expressed by Member States, for submission to the General Assembly with a view to a decision at its fifty-first session; A/C.1/49/L.18 made available for the United Nations Secretariat to operate and maintain the Register; 6. Encourages the Conference on Disarmament to continue its work undertaken in the field of transparency in armaments; 7. Reiterates its call upon all Member States to cooperate at the regional and subregional levels, taking fully into account the specific conditions prevailing in the region or subregion, with a view to enhancing and coordinating international efforts aimed at increased openness and transparency in armaments; 8. Requests the Secretary-General to report to the General Assembly at its fiftieth session on progress made in implementing the present resolution; 9. Decides to include in the provisional agenda of its fiftieth session the item entitled ""Transparency in armaments"".",11/02/1994,1994_163637,Ukraine,1/ Resolution 46/36 L. 2/ ~~ A/49/352 of 1 September 1994. 3/ ~=A/49/316 of 22 September 1994.,yes
1994,Third Committee,Forty-ninth session,93,TheELIMINATION OF RACISM AND RACIAL DISCRIMINATION,"Albania, Algeria, Antigua_and Barbuda, Argentina, Australia, Austria, Bahamas, Belgium, Benin, Bolivia, Botswana, Brazil, Bulgaria, Cambodia, Canada, Chile, Costa Rica, Cuba, Czech Republic, Denmark, Ecuador, Egypt, El Salvador, Ethiopia, Finland, France, Gabon, Germany, Greece, Honduras, Hungar Ireland, Italy, Luxembourg, Malta, Morocco, Netherlands, New Zealand, Norway, Pakistan, Paraguay, Poland, Portugal, Republic of Moldova, Romania, Russian Federation, Slovakia, Slovenia, South Africa, Spain, Sweden, the former Yugoslav Republic of Macedonia, Togo, Uganda, Ukraine, United Kingdom of Great Britain and Northern Ireland, United States of America and Uruguay",N/A,Status of the International Convention on the Elimination of All Forms of Racial Discrimination,"General Assembly , Recalling its relevant resolutions adopted since 1973, which is resolution 47/78 of 16 December 1992, the most recent of Expressing its satisfaction at the entry into force on 3 December 1982, of the competence of the Committee on the Elimination of Racial Discrimination to receive and consider communications from individuals or groups of individuals under article 14 of the International Convention on the Elimination of All Forms of Racial Discrimination, 1/ 1/ Resolution 2106 A (XX), annex. (E) 241094 Recalling its resolution 47/111 of 16 December 1992, in which it endorsed the decision taken on 15 January 1992 by the Fourteenth Meeting of States Parties to the International Convention on the Elimination of All Forms of Racial Discrimination, 2/ to amend paragraph 6 of article 8 of the Convention and to add a new paragraph as paragraph 7, of article 8, with the view to providing for the financing of the Committee on the Elimination of Racial Discrimination from the regular budget of the United Nations, Recalling the decision of the Fourteenth Meeting of the States Parties that the amendments would enter into force once two thirds of the State parties had notified the Secretary-General as depositary that they agreed to the amendments, Noting that, despite the above-mentioned decision, the amendments have not yet come into force, 1. Takes note of the report of the Secretary-General on the status of the International Convention on the Elimination of All Forms of Racial Discrimination; 3/ 2. Expresses its satisfaction at the number of States that have ratified the Convention or acceded thereto; 3. Reaffirms once again its conviction that ratification of or accession to the Convention on a universal basis and implementation of its provisions are necessary for the realization of the objectives of the Third Decade to Combat Racism and Racial Discrimination and for action beyond the Decade; 4. Requests those States, which have not yet become parties to the Convention to ratify it or accede thereto; 5. Requests the States parties to the Convention to consider the possibility of making the declaration provided for in article 14 of the Convention; 6. Urges all States parties which have not done so to take all necessary measures to enable the entry into force at the earliest possible date of the amendments to the Convention of 15 January 1992; 7. Requests the Secretary-General to submit to the General Assembly at its fifty-first session a report concerning the status of the Convention, in accordance with Assembly resolution 2106 A (XX) of 21 December 1965.",10/20/1994,1994_163950,Ukraine,"1/ 2/ See CERD/SP/45, annex. 3/ -A/49/403.",yes
1994,Second Committee,Forty-ninth session,12,REPORT OF THE ECONOMIC AND SOCIAL COUNCIL,"Albania, Algeria, Andorra, Angola, Antigua and Barbuda, Argentina, Australia, Austria, Bahamas, Bangladesh, Barbados, Belarus, Belgium, Belize, Benin, Bhutan, Bolivia, Brazil, Burkina Faso, Cambodia, Canada, Cape Verde, Chile, Colombia, Comoros, Congo, Costa Rica, CÃ©te dâIvoire, Cyprus, Czech Republic, Denmark, Dominican Republic, Ecuador, Egypt, El Salvador, Fiji, France, Germany, Greece, Grenada, Guatemala, Guinea-Bissau, Guyana, Honduras, Hungary, Iceland, India, Ireland, Israel, Italy, Jamaica, Lithuania, Luxembourg, Malawi, Maldives, Malaysia, Malta, Marshall Islands, Mauritania, Mauritius, Micronesia (Federated States of), Monaco, Mongolia, Morocco, Mozambique, Netherlands, New Zealand, Nicaragua, Pakistan, Panama, Papua New Guinea, Paraguay, Peru, Philippines, Poland, Portugal, Qatar, Republic of Moldova, Romania, Russian Federation, Saint Kitts and Nevis, Saint Lucia, Samoa, San Marino, Sao Tome and Principe, Senegal, Seychelles, Slovakia, Slovenia, Solomon Islands, South Africa, Spain, Sri Lanka, Suriname, Thailand, Trinidad and Tobago, Turkey, Ukraine, United Kingdom of Great Britain and Northern Ireland, Uruguay, Vanuatu and Venezuela",N/A,Question of declaring 1998 International Year of the Ocean,"The General Assembly , Recalling Economic and Social Council resolution 1994/48 of 29 July 1994, Proclaims 1998 International Year of the Ocean.",11/07/1994,1994_163971,Ukraine,N/A,yes
1994,Sixth Committee,Forty-ninth session,138,REPORT OF THE UNITED NATIONS COMMISSION ON INTERNATIONAL TRADE LAW ON THE WORK OF ITS TWENTY-SEVENTH SESSION,"Argentina, Australia, Austria, Azerbaijan, Belarus, Belgium, Belize, Cambodia, Canada, Cyprus, Czech Republic, Denmark, Dominican Republic, Finland, France, Germany, Honduras, Hungary, Italy, Morocco, Nicaragua, Norway, Poland, Portugal, Russian Federation, Singapore, Slovakia, Sweden, Thailand, Ukraine and United Kingdom of Great Britain and Northern Ireland",N/A,"UNCITRAL Model Law on Procurement of Goods, Construction and Services","The General Assembly , Recalling its resolution 2205 (XXI) of 17 December 1966, by which it created the United Nations Commission on International Trade Law with a mandate to further the progressive harmonization and unification of the law of international trade and in that respect to bear in mind the interests of all peoples, in particular those of developing countries, in the extensive development of international trade, Noting that procurement constitutes a large portion of public expenditure in most States, Recalling the completion and adoption by the Commission of the UNCITRAL Model Law on Procurement of Goods and Construction at its twenty-sixth session, 1/ Recalling also the decision of the Commission at the twenty-sixth session to draw up model legislative provisions on procurement of services while leaving intact the UNCITRAL Model Law on Procurement of Goods and Construction, Noting that model legislative provisions on procurement of services establishing procedures designed to foster integrity, confidence, fairness and transparency in the procurement process will also promote economy, efficiency and competition in procurement and thus lead to increased economic development, Being of the opinion that the establishment of model legislative provisions on procurement of services that are acceptable to States with different legal, social and economic systems contributes to the development of harmonious international economic relations, Convinced that model legislative provisions on services contained in a consolidated text dealing with procurement of goods, construction and services will significantly assist all States, including developing countries and States whose economies are in transition, in enhancing their existing procurement laws and formulating procurement laws where none presently exist, 1. Takes note with satisfaction of the completion and adoption of the UNCITRAL Model Law on Procurement of Goods, Construction and Services 2/ together with the Guide to Enactment of the Model Law; 3/ 2. Recommends that, in view of the desirability of the improvement and uniformity of the laws of procurement, all States give favourable consideration to the Model Law when they enact or revise their procurement laws; 3. Recommends also that all efforts be made to ensure that the Model Law together with the Guide become generally known and available.",11/14/1994,1994_164369,Ukraine,"1/ Official Records of the General Assembly , Forty-eighth Session, Supplement No. 17 (A/48/17), annex I. 2/ Ibid., Forty-ninth Session, Supplement No. 17 (A/49/17), annex I. 3/ â A/CN.9/394.",yes
1994,Sixth Committee,Forty-ninth session,134,STATUS OF THE PROTOCOLS ADDITIONAL TO THE GENEVA CONVENTIONS OF 1949 AND RELATING TO THE PROTECTION OF VICTIMS OF ARMED CONFLICTS,"Algeria, Australia, Austria, Bangladesh, Belarus, Canada, Chile, Denmark, Egypt, Estonia, Finland, Germany, Iceland, Latvia, Lithuania, Netherlands, New Zealand, Norway, Republic of Moldova, Romania, Russian Federation, Sweden and Ukraine",N/A,N/A,"The General Assembly , Recalling its resolutions 32/44 of 8 December 1977, 34/51 of 23 November 1979, 37/116 of 16 December 1982, 39/77 of 13 December 1984, 41/72 of 3 December 1986, 43/161 of 9 December 1988, 45/38 of 28 November 1990 and 47/30 of 25 November 1992, Having considered the report of the Secretary-General 1/ on the status of the Protocols 2/ Additional to the Geneva Conventions of 1949 3/ and relating to the protection of victims of armed conflicts, Convinced of the continuing value of established humanitarian rules relating to armed conflicts and the need to respect and ensure respect for these rules in all circumstances within the scope of the relevant international instruments, pending the earliest possible termination of such conflicts, 1/-â A/49/255 and Add.1 and Corr. 1. 3/. Ibid., vol. 75, Nos. 970-973. Noting with satisfaction that, pursuant to article 90 of Additional Protocol I, the International Fact-Finding Commission has become operational, Noting the fact that Annex I of Additional Protocol I has been revised, Stressing the need for consolidating and implementing the existing body of international humanitarian law and for the universal acceptance of such law, Mindful of the role of the International Committee of the Red Cross in offering protection to the victims of armed conflicts, Noting with appreciation the continuing efforts of the International Committee of the Red Cross to promote and to disseminate knowledge of the two additional Protocols, 1. Appreciates the virtually universal acceptance of the Geneva Conventions of 1949 and the increasingly wide acceptance of the two additional Protocols of 1977; 2. Notes, however, the fact that, in comparison with the Geneva Conventions, the number of States parties to the two additional Protocols is still limited; 3. Appeals to all States parties to the Geneva Conventions of 1949 that have not yet done so to consider becoming parties to the additional Protocols at the earliest possible date; 4. Calls upon all States that are already parties to Protocol I, or those States not parties, on becoming parties to Protocol I, to make the declaration provided for under article 90 of that Protocol; 5. Takes note of the Declaration adopted on 1 September 1993 at the International Conference for the Protection of War Victims, reaffirming the necessity of preventive measures and of making the implementation of international humanitarian law more effective; 6. Requests the Secretary-General to submit to the General Assembly at its fifty-first session a report on the status of the additional Protocols based on information received from Member States; 7. Decides to include in the provisional agenda of its fifty-first session the item entitled ""Status of the Protocols Additional to the Geneva Conventions of 1949 and relating to the protection of victims of armed conflicts"".",11/17/1994,1994_164417,Ukraine,"1/-â A/49/255 and Add.1 and Corr. 1. 2/ United Nations Treaty Series, vol. 1125, Nos. 17512 and 17513. 3/. Ibid., vol. 75, Nos. 970-973.",yes
1994,General Assembly,Forty-ninth session,37 (b),"STRENGTHENING OF THE COORDINATION OF HUMANITARIAN AND DISASTERRELIEF ASSISTANCE OF THE UNITED NATIONS, INCLUDING SPECIALECONOMIC ASSISTANCE: SPECIAL ECONOMIC ASSISTANCE TO INDIVIDUAL COUNTRIES OR REGIONS","Albania, Austria, Belgium, Bulgaria, Cyprus, Czech Republic, France, Germany, Greece, Hungary, Ireland, Italy, Luxembourg, Netherlands, Poland, Portugal, Republic of Moldova, Romania, Russian Federation, Slovakia, Spain, the former Yugoslav Republic of Macedonia, Ukraine, United Kingdom of Great Britain and Northern Ireland and United States of America",N/A,Economic assistance to States affected by the implementation of the Security Council resolutions imposing sanctions against the Federal Republic of Yugoslavia (Serbia and Montenegro),"The General Assembly , Recalling the provisions of Articles 25, 48, 49 and 50 of the Charter of the United Nations, Recalling also, Security Council resolution 843 (1993) of 18 June 1993, in which the Council entrusted the Committee established pursuant to its resolution 724 (1991) of 15 December 1991 with the task of examining requests by Member States for assistance under the provisions of Article 50 of the Charter of the United Nations, Recalling further Security Council resolution 943 (1994) of 23 September 1994, in which the Council invited the Committee established pursuant to resolution 724 (1991) to adopt appropriate streamlined procedures for expediting its consideration of applications concerning legitimate humanitarian assistance, Recalling the recommendations of the Security Council Committee established pursuant to resolution 724 (1991) concerning Yugoslavia in response to requests for assistance under the provisions of Article 50 of the Charter received by the Council from certain States confronting special economic problems, Reaffirming its resolution 48/210 of 21 December 1993 on economic assistance to States affected by the implementation of the Security Council resolutions imposing sanctions against the Federal Republic of Yugoslavia (Serbia and Montenegro), in which it supported the above-mentioned recommendations of the Security Council Committee and appealed to all States and invited the competent organs and specialized agencies of the United Nations system to fulfil those recommendations, Commending the efforts of the international financial institutions and those States which responded to the appeal of the Secretary-General by taking into consideration the special economic problems arising from the implementation of the sanctions in their support programmes to the affected States, Commending also the steps undertaken by the intergovernmental and regional organizations, in particular the Conference on Security and Cooperation in Europe and the European Union, as well as through the Central European Initiative, to assist the affected States in developing regional transport and communications infrastructures, Taking note of the report of the Secretary-General on the implementation of General Assembly resolution 48/210, and in particular of the conclusions contained therein, Being confident that in compliance with Article 49 of the Charter, the Member States of the United Nations shall join in affording mutual assistance in carrying out the measures decided upon by the Security Council, 1. Expresses concern at the persisting special economic problems confronting States, in particular the States that border the Federal Republic of Yugoslavia (Serbia and Montenegro), the other Danube riparian States and all other States adversely affected by the severance of their economic relations with the Federal Republic of Yugoslavia (Serbia and Montenegro) and the disruption of traditional transport and communications links in that part of Europe and their continuous adverse impact on the economies of those States; 2. Recognizes the urgent need for a concerted response from the international community to deal in a more effective manner with the special economic problems of the affected States in view of their magnitude and the adverse impact of the sanctions on those States; 3. Invites the international financial institutions to continue to pay special attention to the economic problems of the affected States arising from the implementation of the sanctions and the adverse social impact and to consider, inter alia: (a) How the existing facilities of the International Monetary Fund might be helpful to the States concerned, with the view to alleviating their special economic problems; (b) How consultative group meetings of the International Bank for Reconstruction and Development on the countries in question, scheduled for 1995, might further help to mobilize additional resources to mitigate the losses and costs incurred by those countries; 4. Requests the competent organs, programmes and specialized agencies of the United Nations system to take into consideration, in programming their development activities, the special needs of the affected States and to consider providing assistance to the affected States from their special programme resources; 5. Renews its appeal to all States on an urgent basis to provide immediate technical, financial and material assistance to the affected States to mitigate the adverse effect on their economies of the application of sanctions against the Federal Republic of Yugoslavia (Serbia and Montenegro) inter alia through consideration of the provision of assistance for the promotion of the exports of the affected countries and for the promotion of investments in those countries; 6. Requests the Secretary-General to continue to seek, on a regular basis, information from States and the concerned organs and agencies of the United Nations system on action taken to alleviate the special economic problems of the affected States and to report thereon to the Security Council, as well as to submit a report on the implementation of the present resolution to the General Assembly at its fiftieth session.",11/18/1994,1994_164425,Ukraine,N/A,yes
