,Invalid Rate
Gabon,3.1746031746031744
Equatorial Guinea,3.125
Central African Republic,2.7777777777777777
Uzbekistan,2.380952380952381
Benin,2.272727272727273
Vanuatu,2.2222222222222223
Chad,2.2222222222222223
Madagascar,2.1739130434782608
Dominican Republic,2.13903743315508
Canada,1.9572953736654803
Togo,1.7094017094017095
Turkmenistan,1.6129032258064515
Nepal,1.4814814814814816
Bhutan,1.4285714285714286
Ukraine,1.4018691588785046
Russian Federation,1.3262599469496021
Peru,1.3157894736842104
Philippines,1.3114754098360655
Costa Rica,1.2773722627737227
Poland,1.2690355329949239
Netherlands,1.2295081967213115
Bahamas,1.1764705882352942
Samoa,1.1494252873563218
Barbados,1.1494252873563218
Denmark,1.1131725417439702
Malawi,1.1111111111111112
Uganda,1.0526315789473684
Azerbaijan,1.0416666666666665
Kazakhstan,1.0101010101010102
Germany,1.0050251256281406
Mozambique,0.9615384615384616
Bulgaria,0.949367088607595
Panama,0.8733624454148471
Senegal,0.8438818565400843
Luxembourg,0.7853403141361256
Hungary,0.7712082262210797
Finland,0.7490636704119851
Turkey,0.7434944237918215
Georgia,0.7246376811594203
Honduras,0.7142857142857143
Marshall Islands,0.6666666666666667
Kenya,0.6622516556291391
Albania,0.6622516556291391
Haiti,0.6493506493506493
Malta,0.5235602094240838
Israel,0.49019607843137253
Malaysia,0.38314176245210724
Morocco,0.36900369003690037
Ecuador,0.3508771929824561
Iceland,0.3289473684210526
Guinea,0.3115264797507788
Seychelles,0.0
Sri Lanka,0.0
Viet Nam,0.0
Sudan,0.0
Saudi Arabia,0.0
Suriname,0.0
Uruguay,0.0
Tunisia,0.0
Afghanistan,0.0
Oman,0.0
Iran (Islamic Republic of),0.0
Bahrain,0.0
Bosnia and Herzegovina,0.0
Botswana,0.0
Democratic Republic of the Congo,0.0
Djibouti,0.0
Gambia (Republic of The),0.0
Ghana,0.0
Jordan,0.0
Niger,0.0
Kuwait,0.0
Maldives,0.0
Mali,0.0
Mauritania,0.0
Myanmar,0.0
Namibia,0.0
Nigeria,0.0
Yemen,0.0
